name,phone,website,address,city,review_count,rating,state
Carolina Home Specialists,(978) 581-6757,https://carolinahomespecialists.com/?utm_source=gbp&utm_medium=organic,"1819 Spring Garden St suite e, Greensboro, NC 27403, USA",Greensboro,180,4.8,North Carolina
A&M Premier Roofing & Construction,(336) 586-6605,https://amprco.com/service-areas/greensboro/?utm_campaign=gmb,"806 Green Valley Rd #311, Greensboro, NC 27408, USA",Greensboro,51,5,North Carolina
"ABC Roofing & Exteriors, Inc.",(336) 286-0462,https://www.abcroofinginc.com/,"3012 Patterson St, Greensboro, NC 27407, USA",Greensboro,87,4.7,North Carolina
AF Roofing Solutions,(336) 823-0437,https://afroofingsolutions.com/,"2941 Battleground Ave #39237, Greensboro, NC 27408, USA",Greensboro,76,4.8,North Carolina
All Pro Roofing LLC,(336) 339-7806,http://allproroofingnc.com/,"7325 W Friendly Ave E2, Greensboro, NC 27410, USA",Greensboro,108,5,North Carolina
Carolina Elite Roofing,(336) 223-4476,https://carolinaeliteroofing.com/greensboro,"481 N English St, Greensboro, NC 27405, USA",Greensboro,38,5,North Carolina
Triad Roofing Services,(336) 540-0001,https://www.triadroofingservices.com/,"3012 S Elm-Eugene St H, Greensboro, NC 27406, USA",Greensboro,40,4.7,North Carolina
ResCo Roofing Co,(336) 365-9484,https://rescoroofing.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb,"806 Green Valley Rd Suite 200 PMB 1009, Greensboro, NC 27408, USA",Greensboro,43,4.9,North Carolina
Excel Roofing Solutions,(336) 281-3834,https://excelroofingsolutions.com/?utm_source=gbp&utm_medium=organic&utm_campaign=guilford_county_profile,"1484 Alamance Church Rd, Greensboro, NC 27406, USA",Greensboro,150,5,North Carolina
Peak Performance,(336) 491-0994,http://www.peakperformanceroofers.com/,"532 S Elm St STE 200, Greensboro, NC 27406, USA",Greensboro,131,5,North Carolina
ROOF XPRESS,(855) 533-7773,http://roofxpress.com/,"2007 Boulevard St Suite B, Greensboro, NC 27407, USA",Greensboro,77,5,North Carolina
Maen Roofing,(336) 285-6200,https://www.maenroofing.com/,"1710 E Bessemer Ave, Greensboro, NC 27405, USA",Greensboro,161,4.9,North Carolina
Hammer Time Roofing,(336) 847-9528,https://hammertimeroofing-nc.com/,"5710 W Gate City Blvd #235, Greensboro, NC 27407, USA",Greensboro,69,4.6,North Carolina
Triad Installations Roofing Greensboro Winston Salem High Point Kernersville,(336) 854-5706,http://www.triadinstallations.com/,"5202 W Market St, Greensboro, NC 27409, USA",Greensboro,181,4.8,North Carolina
Pine Rock Roofing,(336) 355-7709,https://gopinerock.com/,"205 Creek Ridge Rd suite e, Greensboro, NC 27406, USA",Greensboro,157,5,North Carolina
ProCover Exteriors,(336) 676-4201,https://procoverexteriors.com/,"3402 W Wendover Ave D, Greensboro, NC 27407, USA",Greensboro,165,5,North Carolina
Aztec Roofing LLC,(336) 482-5694,https://aztecroofings.com/,"2645 Randleman Rd, Greensboro, NC 27406, USA",Greensboro,78,4.8,North Carolina
Carolinas Best Roofing and Construction,(866) 454-7424,https://www.bestroofnc.com/,"311-J S Westgate Dr, Greensboro, NC 27407, USA",Greensboro,32,4.6,North Carolina
Armor Roofing LLC,(336) 586-6559,https://armorbuilder.com/colfax,"4600 Johnson St, Colfax, NC 27235, USA",Greensboro,103,4.9,North Carolina
Davila Construction,(336) 575-2312,http://davilaconstruction.org/?utm_source=gmb&utm_medium=referral,"113 W Green Ct, Greensboro, NC 27407, USA",Greensboro,92,5,North Carolina
F2 Roofing,(336) 223-4442,https://f2propertysolutions.com/exterior-services-greensboro-nc/roofing/,"200 Seneca Rd Unit B, Greensboro, NC 27406, USA",Greensboro,50,5,North Carolina
Goliath Roofing Inc,(336) 943-1695,https://www.callgoliathroofing.com/,"157 Blue Bell Rd, Greensboro, NC 27406, USA",Greensboro,61,5,North Carolina
Trinity Metal Roofing,(336) 439-8826,https://metalroofinggreensboro.com/,"3844 Battleground Ave #51, Greensboro, NC 27410, USA",Greensboro,52,4.9,North Carolina
"Strong Roofing, LLC",(336) 404-6510,https://strongroofingpros.com/,"952 Golf House Rd W # A, Whitsett, NC 27377, USA",Greensboro,63,4.9,North Carolina
Flores Roofing & Painting,(336) 691-8183,https://www.rfloresroofing.com/,"3415 Burlington Rd, Greensboro, NC 27405, USA",Greensboro,32,5,North Carolina
MJ's Roofing & Remodeling,(919) 295-0404,https://mjsroofingandremodeling.com/,"1135 Amber Shadow Dr, Durham, NC 27703, USA",Durham,73,4.9,North Carolina
"Pickard Roofing Company, Inc.",(919) 682-5702,https://www.pickardroofing.com/,"823 E Trinity Ave, Durham, NC 27704, USA",Durham,46,4.5,North Carolina
Recovery Roofing & Restoration,(919) 371-8990,https://recoveryroofingnc.com/,"4122 Bennett Memorial Rd STE 103, Durham, NC 27705, USA",Durham,100,4.4,North Carolina
WJM Roofing,(919) 495-1283,http://wjmroofing.com/,"2207 Inlet Ave, Durham, NC 27704, USA",Durham,44,4.9,North Carolina
Boxer Roofing,(919) 730-1735,https://boxerroofing.com/,"5900 Knight Dr, Durham, NC 27705, USA",Durham,38,5,North Carolina
Carolina United Roofing & Construction LLC,(919) 260-3803,https://www.carolinaunitedroofing.com/,"125 S Estes Dr #3699, Chapel Hill, NC 27515, USA",Durham,197,5,North Carolina
Carolina Home Specialists,(336) 742-0492,https://carolinahomespecialists.com/?utm_source=gbp&utm_medium=organic,"411 Andrews Rd STE 220, Durham, NC 27705, USA",Durham,73,4.9,North Carolina
Murcia's Roofing & Home Improvement,(919) 381-2795,http://murciasinc.com/,"3008 Firth Rd, Durham, NC 27704, USA",Durham,49,4.8,North Carolina
Elite Roof and Solar - Winston-Salem,(336) 365-1261,https://eliteroofandsolar.com/roofers/winston-salem-nc/,"500 W 5th St Suite 800, Winston-Salem, NC 27101, USA",Winston-Salem,112,4.9,North Carolina
"Mid Atlantic Roofing Systems, Inc",(336) 930-9904,https://midatlanticroofingsystems.com/winston-salem-nc/roofing-company/,"2915 Reynolda Rd, Winston-Salem, NC 27106, USA",Winston-Salem,153,4.8,North Carolina
The Roof Mentors,(336) 920-7245,https://theroofmentors.com/winston-salem-nc/,"427 W End Blvd, Winston-Salem, NC 27101, USA",Winston-Salem,98,4.9,North Carolina
Carolina Professional Roof Systems,(336) 546-6292,http://carolinaprofessionalroofsystems.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb,"2646 S Main St, Winston-Salem, NC 27127, USA",Winston-Salem,121,5,North Carolina
Cooley Roofing,(336) 766-6488,https://winstonsalemroofs.com/,"6319 Cook Ave Suite 208, Clemmons, NC 27012, USA",Winston-Salem,142,5,North Carolina
Statewide Roofing Specialist,(336) 936-5692,https://statewideroofingspecialist.com/roofers-in-winston-salem-nc/?utm_source=google&utm_medium=organic&utm_campaign=GBP&utm_content=profile&utm_location=winston_salem_nc,"3500 Vest Mill Rd STE 43, Winston-Salem, NC 27103, USA",Winston-Salem,100,4.7,North Carolina
Mighty Dog Roofing of Winston-Salem,(336) 932-8567,https://www.mightydogroofing.com/winston-salem-nc,"4309 Old Walkertown Rd, Winston-Salem, NC 27105, USA",Winston-Salem,49,5,North Carolina
Camel City Roofing,(336) 815-4480,https://camelcityroofing.com/?utm_campaign=gmb,"1136 Louise Rd Unit 140, Winston-Salem, NC 27107, USA",Winston-Salem,126,4.9,North Carolina
EcoShield Roofing,(336) 937-9673,https://ecoshieldnc.com/?utm_campaign=gmb,"5723 Country Club Rd #100, Winston-Salem, NC 27104, USA",Winston-Salem,131,4.7,North Carolina
Mabe's Roofing Inc,(336) 946-6509,https://mabesroofing.com/,"5723 Country Club Rd # G, Winston-Salem, NC 27104, USA",Winston-Salem,104,4.9,North Carolina
Jacob's Ladder Construction & Roofing LLC,(336) 234-4184,https://www.jacobsladderroofers.com/,"1600 Normandy Ln SW, Winston-Salem, NC 27103, USA",Winston-Salem,51,4.7,North Carolina
Mendez's Roofing Services LLC,(336) 965-9105,https://mendezroofings.com/,"2511 Neudorf Rd Suite J, Clemmons, NC 27012, USA",Winston-Salem,114,4.9,North Carolina
Storm Guard Roofing & Construction of the Piedmont Triad,(336) 283-0234,https://www.stormguardrc.com/nc/kernersville-piedmont-triad/,"511 Shepherd St Suite 203, Winston-Salem, NC 27103, USA",Winston-Salem,169,4.8,North Carolina
"ChilMor Roofing & Construction, Inc.",(336) 942-6095,http://www.chilmor.com/,"513 Bermen Dr, Winston-Salem, NC 27107, USA",Winston-Salem,111,5,North Carolina
Calvary Roofing LLC,(910) 494-4022,http://www.calvaryroofingusa.com/,"1402 Sapona Rd, Fayetteville, NC 28312, USA",Fayetteville,193,5,North Carolina
The Roof Mentors,(910) 987-2727,https://theroofmentors.com/,"1903 Bragg Blvd, Fayetteville, NC 28301, USA",Fayetteville,136,4.9,North Carolina
Blue Ribbon Roofing,(910) 483-7663,https://blueribbonroofingnc.com/,"1740 Owen Dr Suite C, Fayetteville, NC 28304, USA",Fayetteville,94,5,North Carolina
Southern Premier Roofing,(910) 835-5914,https://southernpremierroofing.com/raleigh,"5085 Morganton Rd, Fayetteville, NC 28314, USA",Fayetteville,77,4.6,North Carolina
Karcher Roofing & Construction,(910) 568-2861,https://www.karcherroofingandconstruction.com/,"3940 Yarborough Rd, Hope Mills, NC 28348, USA",Fayetteville,162,5,North Carolina
"Advanced Roofing Solutions, LLC.",(910) 988-8245,https://advancedroofingsolutionsllc.com/,"215 Kenwood Dr, Fayetteville, NC 28311, USA",Fayetteville,98,4.7,North Carolina
Best Choice Roofing,(910) 407-0075,https://bestchoiceroofing.com/fayetteville/?utm_source=gmb&utm_medium=organic&utm_campaign=fayetteville,"135 S Racepath St, Fayetteville, NC 28301, USA",Fayetteville,149,4.8,North Carolina
Premier Builders Roofing Specialists,(910) 485-3479,https://www.pbroofingspecialist.com/,"485 Robeson St, Fayetteville, NC 28301, USA",Fayetteville,60,5,North Carolina
TKPA Roofing LLC,(910) 990-2965,https://tkparoofingllc.com/,"962 Bragg Blvd, Fayetteville, NC 28301, USA",Fayetteville,57,4.8,North Carolina
ATD Roofing,(910) 807-8939,https://www.atdroofing.com/,"2501 Bragg Blvd, Fayetteville, NC 28303, USA",Fayetteville,54,4.9,North Carolina
M&D Construction,(910) 978-8125,https://www.mndbuild.com/,"2206 Hope Mills Rd, Fayetteville, NC 28304, USA",Fayetteville,199,4.1,North Carolina
SH Barnes East Coast Roofing,(910) 429-0509,https://www.barnesecr.com/,"906 Hope Mills Rd, Fayetteville, NC 28304, USA",Fayetteville,67,4.7,North Carolina
Apex Roofing & Siding,(910) 659-3555,https://metalroofingfayettevillenc.com/,"610 Rim Rd, Fayetteville, NC 28314, USA",Fayetteville,55,4.8,North Carolina
Hillside Metal Roofing,(910) 857-5919,https://metalroofingfayetteville.com/,"602 School St, Fayetteville, NC 28301, USA",Fayetteville,51,4.9,North Carolina
The Handyman Roofer,(214) 734-4879,http://thehandymanroofer.com/,"335 Sedgefield Dr, Raeford, NC 28376, USA",Fayetteville,113,5,North Carolina
Riverstone Construction and Home Improvement Company,(910) 977-0709,https://www.rsccontracting.org/,"2018 Fort Bragg Rd 118 B, Fayetteville, NC 28303, USA",Fayetteville,56,4.8,North Carolina
"Gold Star Siding, Windows & Roofing",(910) 500-2321,https://goldstarnc.com/,"607 German St Suite D, Fayetteville, NC 28301, USA",Fayetteville,125,4.8,North Carolina
DaBella,(910) 629-2303,https://dabella.us/location/fayetteville/?utm_source=GBP&utm_medium=link&utm_campaign=fayettevilleGBP&utm_id=Google+Business+Profile+Clicks,"334 E Mountain Dr B, Fayetteville, NC 28306, USA",Fayetteville,113,4.7,North Carolina
Veterans Affordable Construction LLC.,(910) 882-3626,https://www.facebook.com/Veteransaffordableconstruction/?ref=bookmarks,"1105 Christina St, Fayetteville, NC 28314, USA",Fayetteville,150,4.6,North Carolina
Robust Roofing,(910) 600-1050,https://www.robustroofingcarolinas.com/?utm_source=omg-gbp&utm_medium=webclick,"3620 Legion Rd Ste 109, Hope Mills, NC 28348, USA",Fayetteville,72,5,North Carolina
Cruz Masters LLC,(910) 425-1084,https://cruzmastersllc.com/,"729 Snow Hill Rd, Fayetteville, NC 28306, USA",Fayetteville,87,4.7,North Carolina
Premier Roofing Company,(919) 752-7663,https://www.premier-roofing.com/locations/raleigh-roofing/?utm_source=google&utm_medium=local&utm_campaign=GMB&utm_content=Raleigh,"15300 Weston Pkwy 106 - #107, Cary, NC 27513, USA",Cary,49,4.9,North Carolina
Suretop Roofing,(336) 270-9292,https://suretoproofing.com/,"1750 NW Maynard Rd Suite 100-104, Cary, NC 27513, USA",Cary,109,4.9,North Carolina
Dave's Roof Repair,(919) 219-2474,https://www.davesroofrepair.com/,"906 Vickie Dr, Cary, NC 27511, USA",Cary,47,4.9,North Carolina
Highlands Roofing,(919) 351-9337,http://highlands-roofing.com/,"2054 Kildaire Farm Rd #168, Cary, NC 27518, USA",Cary,139,4.9,North Carolina
First Choice Roofing,(919) 244-9254,https://firstchoiceroofingusa.com/,"5000 Centregreen Way #500, Cary, NC 27513, USA",Cary,92,4.9,North Carolina
Ultra Roofing LLC,(800) 977-3110,https://www.ultraroofing.net/contact-us,"2500 Regency Pkwy Suite 212, Cary, NC 27518, USA",Cary,93,4.8,North Carolina
BIG RED ROOFING & Home Exteriors,(919) 441-2735,https://bigred-roofing.com/,"1144 Executive Cir Suite 220, Cary, NC 27511, USA",Cary,38,5,North Carolina
1st National Roofing,(919) 439-9444,https://www.1stnationalroofing.net/,"2500 Regency Pkwy, Cary, NC 27518, USA",Cary,80,4.9,North Carolina
Oak City Roofing,(919) 535-4278,https://www.oakcityroofing.com/?utm_source=GMBlisting&utm_medium=organic,"113 Felspar Way, Cary, NC 27518, USA",Cary,43,5,North Carolina
"Consolidated Roofing Systems, Inc.",(919) 377-2644,https://www.consolidatedroofing.org/,"2054 Kildaire Farm Rd #303, Cary, NC 27518, USA",Cary,58,4.5,North Carolina
Alpha Roofing,(910) 742-2687,https://alpharoofs.com/,"609 A Piner Rd Suite 121, Wilmington, NC 28409, USA",Wilmington,174,4.9,North Carolina
Atlantic Roofing Company,(910) 799-3858,https://www.atlanticroofingcompany.com/,"5212 Carolina Beach Rd B, Wilmington, NC 28412, USA",Wilmington,97,5,North Carolina
Excel Roofing Company,(910) 685-7102,https://www.excelroofingnc.com/,"447 Marion Dr, Wilmington, NC 28412, USA",Wilmington,130,4.7,North Carolina
Summit Roofing Company,(910) 409-2205,https://www.summitroofingwilmington.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,"2708 Exchange Dr Unit C, Wilmington, NC 28405, USA",Wilmington,171,4.9,North Carolina
"RGR Construction and Roofing, LLC",(910) 408-6026,https://www.rgrconstructionllc.com/,"340 Shipyard Blvd, Wilmington, NC 28412, USA",Wilmington,124,5,North Carolina
Sunny Day Roofing - Leland/Wilmington,(910) 399-4900,https://sunnydayroofing.com/?utm_source=vds&utm_medium=gbp&utm_campaign=vdsgbpmyrtle,"3951 Market St Suite A, Wilmington, NC 28403, USA",Wilmington,169,5,North Carolina
Masters Roofing,(910) 742-2250,https://www.mastersroofinginc.com/roofing-wilmington-nc/,"115 Hinton Ave #8, Wilmington, NC 28403, USA",Wilmington,84,5,North Carolina
Trust Roofing & Restoration,(910) 538-5353,https://trustroofingnc.com/,"109 Hinton Ave Ste 9, Wilmington, NC 28403, USA",Wilmington,33,5,North Carolina
Norato Roofing & Renovations LLC,(910) 228-5748,http://noratoroofingilm.com/,"1319 S 15th St, Wilmington, NC 28401, USA",Wilmington,60,5,North Carolina
Modern Roofing,(910) 782-5579,https://modernroofingusa.com/locations/roofer-wilmington-nc/,"813 S 16th St, Wilmington, NC 28401, USA",Wilmington,85,4.9,North Carolina
Stormgrade Roofing,(910) 524-8577,https://stormgraderoof.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,"890 S Kerr Ave #235, Wilmington, NC 28403, USA",Wilmington,171,5,North Carolina
Hallman Roofing,(910) 228-7641,https://hallmanroofing.com/,"5122A Greenville Loop Rd, Wilmington, NC 28409, USA",Wilmington,139,4.9,North Carolina
Baker Roofing Company,(910) 799-7585,http://www.bakerroofing.com/wilmington-roofing-company/,"3107 Kitty Hawk Rd, Wilmington, NC 28405, USA",Wilmington,52,4.6,North Carolina
Highland Roofing Company,(910) 798-0155,https://www.highlandroofingcompany.com/,"4310 Deer Creek Ln, Wilmington, NC 28405, USA",Wilmington,46,4.6,North Carolina
Tabor Roofing of Wilmington,(910) 200-3849,https://taborroofingwilmington.com/,"4701 Wrightsville Ave Suite 2-207, Wilmington, NC 28403, USA",Wilmington,60,5,North Carolina
Southern Style Roofing & Remodeling,(910) 399-3204,https://www.southernstyleroofingandremodeling.com/,"3916 Carolina Beach Rd #102, Wilmington, NC 28412, USA",Wilmington,78,5,North Carolina
Fisher's Roofing Services,(910) 859-7032,http://www.fishersroofingservices.com/,"3809 Peachtree Ave Suite 201, Wilmington, NC 28403, USA",Wilmington,46,4.8,North Carolina
Harbor Roofing and Siding,(910) 262-5508,https://www.harborroofingandsiding.com/,"311 Judges Rd Suite 5F, Wilmington, NC 28405, USA",Wilmington,62,4.1,North Carolina
Storm Guard Roofing and Construction of Wilmington,(910) 679-9950,https://www.stormguardrc.com/nc/wilmington/?utm_source=google&utm_medium=organic&utm_campaign=gbp-listing&utm_content=wilmington,"3955 Market St unit a, Wilmington, NC 28403, USA",Wilmington,121,4.8,North Carolina
Skywalker Roofing Company,(910) 909-4153,https://skywalkerroofingnc.com/wilmington-roofing-company?utm_campaign=gmb,"6643 Gordon Rd, Wilmington, NC 28411, USA",Wilmington,47,4.9,North Carolina
Ford & Murphy Roofing & Restorations,(910) 234-6037,https://fordandmurphy.com/,"708 Rosemont Ave, Wilmington, NC 28403, USA",Wilmington,39,5,North Carolina
"Skyview Roofing & Restoration, LLC",(910) 409-1942,https://skyviewroofingllc.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb-listing,"5025 Oleander Dr, Wilmington, NC 28403, USA",Wilmington,52,4.9,North Carolina
Wilmington Roofing Services,(910) 901-8360,http://wilmingtonroofingexperts.com/,"2803 Market St #110, Wilmington, NC 28403, USA",Wilmington,30,5,North Carolina
R.W. Mason Roofing LLC,(910) 707-0668,http://www.rwmasonroofing.com/,"1309 Bridge Barrier Rd, Carolina Beach, NC 28428, USA",Wilmington,75,4.6,North Carolina
D. Thomas Roofing Co. Inc.,(910) 798-8606,https://www.facebook.com/profile.php?id=100064986701187,"2013 N Kerr Ave A, Wilmington, NC 28405, USA",Wilmington,52,4.7,North Carolina
